year_month,show_hn_count,stories_count,stories_without_show_hn_count,show_hn_ratio,average_show_hn_score,average_non_show_hn_score,average_story_score
2006-10,0,46,46,0.0,,6.15,6.15
2006-11,0,0,0,0.0,,,
2006-12,0,1,1,0.0,,3.0,3.0
2007-01,0,0,0,0.0,,,
2007-02,0,554,554,0.0,,7.04,7.04
2007-03,0,1783,1783,0.0,,4.37,4.37
2007-04,0,2185,2185,0.0,,4.25,4.25
2007-05,0,2070,2070,0.0,,3.66,3.66
2007-06,0,1511,1511,0.0,,4.61,4.61
2007-07,0,1705,1705,0.0,,4.52,4.52
2007-08,0,2576,2576,0.0,,5.25,5.25
2007-09,0,2501,2501,0.0,,5.94,5.94
2007-10,0,2848,2848,0.0,,5.57,5.57
2007-11,0,2441,2441,0.0,,5.57,5.57
2007-12,0,2294,2294,0.0,,5.93,5.93
2008-01,0,3295,3295,0.0,,5.7,5.7
2008-02,0,4236,4236,0.0,,5.72,5.72
2008-03,0,5219,5219,0.0,,6.58,6.58
2008-04,0,5461,5461,0.0,,6.37,6.37
2008-05,0,5863,5863,0.0,,5.86,5.86
2008-06,0,5970,5970,0.0,,6.03,6.03
2008-07,0,6899,6899,0.0,,6.3,6.3
2008-08,0,6378,6378,0.0,,6.16,6.16
2008-09,0,6732,6732,0.0,,5.99,5.99
2008-10,0,7234,7234,0.0,,6.17,6.17
2008-11,0,6306,6306,0.0,,6.9,6.9
2008-12,0,6574,6574,0.0,,7.12,7.12
2009-01,0,7774,7774,0.0,,7.68,7.68
2009-02,0,7477,7477,0.0,,7.97,7.97
2009-03,3,8573,8570,0.0003,23.67,8.26,8.26
2009-04,1,8418,8417,0.0001,3.0,8.85,8.85
2009-05,0,8599,8599,0.0,,8.64,8.64
2009-06,0,8548,8548,0.0,,8.97,8.97
2009-07,0,9749,9749,0.0,,8.88,8.88
2009-08,0,10501,10501,0.0,,9.4,9.4
2009-09,0,10259,10259,0.0,,8.95,8.95
2009-10,1,10659,10658,0.0001,1.0,8.9,8.9
2009-11,2,10429,10427,0.0002,9.5,8.87,8.87
2009-12,1,10082,10081,0.0001,2.0,9.51,9.51
2010-01,7,12218,12211,0.0006,48.0,9.44,9.46
2010-02,12,12537,12525,0.001,30.17,9.18,9.2
2010-03,22,13440,13418,0.0016,25.73,9.54,9.56
2010-04,15,13475,13460,0.0011,13.07,10.55,10.56
2010-05,21,14315,14294,0.0015,12.57,10.32,10.32
2010-06,10,13815,13805,0.0007,18.7,10.48,10.49
2010-07,11,14222,14211,0.0008,29.18,10.08,10.1
2010-08,19,15128,15109,0.0013,13.63,10.13,10.13
2010-09,24,15956,15932,0.0015,11.46,9.98,9.98
2010-10,72,17604,17532,0.0041,20.25,10.17,10.22
